Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,,,
1,"DCM Segura, RS Stabile, SM Bruschi…",Providing Computing Services through Mobile Devices in a Collaborative Way-A Fog Computing Case Study,2017,Proceedings of the 20th …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3127578,,,,,
0,"A Amin, S Riyaz, A Ali, Z Paul","Review of IoT Data Analytics using Big Data, Fog Computing and Data Mining",2017,,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/9e18/6f5a6aee5cf84dd8f85040b5df80dc7614a3.pdf,,,,,
1,"A Mebrek, L Merghem-Boulahia…",Efficient green solution for a balanced energy consumption and delay in the IoT-Fog-Cloud computing,2017,Network Computing …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8171359/,,,,,
0,"S Kitanov, T Janevski",6 Fog Computing Mechanisms in 5G Mobile Networks,2017,Networks of the Future: Architectures …,books.google.com,https://books.google.com/books?hl=en&lr=&id=i3JQDwAAQBAJ&oi=fnd&pg=PA101&dq=+fog+computing&ots=yTBTI1Cj28&sig=C1p4eDw1tkoNmVpXG-emKXyqsNk,,,,,
0,FOGB TRANSCODING…,FOG COMPUTING AND NETWORKING: PART,2017,IEEE Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/7901461/,,,,,
0,"CH Hsu, HJ Hong, T Elgamal, K Nahrstedt…",Multimedia fog computing: minions in the cloud and crowd,2017,Frontiers of Multimedia …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3122876,,,,,
0,"BB Rad, AA Shareef",Fog Computing: A Short Review of Concept and Applications,2017,IJCSNS,paper.ijcsns.org,http://paper.ijcsns.org/07_book/201711/20171109.pdf,,,,,
0,"A Dasgupta, AQ Gill",Fog Computing Challenges: A Systematic Review,2017,Australasian Conference on Information …,acis2017.org,https://www.acis2017.org/wp-content/uploads/2017/11/ACIS2017_paper_182_RIP.pdf,,,,,
0,"S Wang, A Zhou, MM Komarov…",Services and communications in fog computing,2017,China …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8233645/,,,,,
0,"AA Alsaffar, PX Qui, NNDT Tri, LCC Pamela…",Leveraging Fog Computing to Improve Delay-Sensitive-Time of Applications,2017,?????? ???? …,dbpia.co.kr,http://www.dbpia.co.kr/Journal/ArticleDetail/NODE07126261,,,,,
1,"F Bonomi, S Poledna, W Steiner",8 The Role of Fog Computing in the Future of the Automobile,2017,Fog for 5G and IoT,books.google.com,https://books.google.com/books?hl=en&lr=&id=TDdZDgAAQBAJ&oi=fnd&pg=PA191&dq=+fog+computing&ots=d45EVI9oKS&sig=E_AUFdzvOn-Y4MDihOXfBy_pts0,,,,,
0,"H Mahdikhani, R Lu",Achieving Privacy-Preserving Multi Dot-Product Query in Fog Computing-Enhanced IoT,2017,GLOBECOM 2017-2017 IEEE Global …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8253982/,,,,,
0,"A Rafetseder, L Pühringer…",Practical fog computing with seattle,2017,Fog World Congress …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8368519/,,,,,
2,"S Zahra, M Alam, Q Javaid, A Wahid, N Javaid…",Fog Computing Over IoT: A Secure Deployment and Formal Verification,2017,IEEE …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8118288/,,,,,
0,"A Abouaomar, A Filali…","Caching, device-to-device and fog computing in 5th cellular networks generation : Survey",2017,Wireless Networks and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8238174/,,,,,
0,"X Yuan, Y He, Q Fang, X Tong, C Du…",An Improved Fast Search and Find of Density Peaks-Based Fog Node Location of Fog Computing System,2017,… IEEE Green Computing …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8276818/,,,,,
0,"V Kochar, A Sarkar",Real-Time Scheduling on Dynamic Resources in a Fog Computing Environment,2017,Journal of Low Power Electronics,ingentaconnect.com,http://www.ingentaconnect.com/contentone/asp/jolpe/2017/00000013/00000004/art00010,,,,,
3,"Q Zhu, B Si, F Yang, Y Ma",Task offloading decision in fog computing system,2017,China Communications,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8233651/,,,,,
2,"W Zhang, Z Zhang, HC Chao",Cooperative Fog Computing for Dealing with Big Data in the Internet of Vehicles: Architecture and Hierarchical Resource Management,2017,IEEE Communications …,ieeexplore.ieee.org,http://ieeexplore.ieee.org/abstract/document/8198803/,,,,,
0,"T Jeong, J Chung, JWK Hong…",Towards a distributed computing framework for Fog,2017,Fog World Congress (FWC) …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8368528/,,,,,
0,K Kumar,Fog Computing: The Essential Catalyst for Optimising the True Potential of Cloud-Based Internet of Things,2017,… Research on Information Technology and Computing,researchgate.net,https://www.researchgate.net/profile/Kaushal_Kumar7/publication/321163396_Fog_Computing_The_Essential_Catalyst_for_Optimising_the_True_Potential_of_Cloud-Based_Internet_of_Things/links/5a27ec9e4585155dd42454df/Fog-Computing-The-Essential-Catalyst-for-Optimising-the-True-Potential-of-Cloud-Based-Internet-of-Things.pdf,,,,,
0,"L Huang, Y Liu, J Wu, G Li, J Li",Software-defined dynamic QoS provisioning for smart metering in energy Internet using fog computing and network calculus,2017,IET Cyber-Physical Systems: Theory & …,IET,http://digital-library.theiet.org/content/journals/10.1049/iet-cps.2017.0100?crawler=true&mimetype=application/pdf&tags=noindex,,,,,
0,"PR Anantula, GM Someswar",Protecting data in cloud environment from intruders using fog computing mechanism and control flows,2017,Communication and Electronics …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8321260/,,,,,
0,M Parto Dezfouli,"IOT PLATFORM FOR MACHINE MONITORING THROUGH INTEGRATION OF FOG COMPUTING, CLOUD COMPUTING, AND COMMUNICATION PROTOCOLS",2017,,smartech.gatech.edu,https://smartech.gatech.edu/handle/1853/59283,,,,,
0,"T Janevski, S Kitanov",Fog Computing Mechanisms in 5G Mobile Networks,2017,Networks of the Future,taylorfrancis.com,https://www.taylorfrancis.com/books/e/9781498783989/chapters/10.1201%2F9781315155517-6,,,,,
2,"MM Lopes, WA Higashino, MAM Capretz…",MyiFogSim: A Simulator for Virtual Machine Migration in Fog Computing,2017,… and Cloud Computing,dl.acm.org,https://dl.acm.org/citation.cfm?id=3148101,,,,,
1,Z Wang,Leakage resilient ID-based proxy re-encryption scheme for access control in fog computing,2017,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17310075,,,,,
0,"M Gazzetti, A Reale, K Katrinis, A Corradi",Scalable Linux Container Provisioning in Fog and Edge Computing Platforms,2017,European Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-75178-8_25,,,,,
0,"M Geier, E Mocskos",SherlockFog: Finding Opportunities for MPI Applications in Fog and Edge Computing,2017,Latin American High Performance Computing …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-73353-1_13,,,,,
0,"A Gómez-Cárdenas, X Masip-Bruin…",A Hash-Based Naming Strategy for the Fog-to-Cloud Computing Paradigm,2017,… Conference on Parallel …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-75178-8_26,,,,,
0,A Lebre,Contributions to Large-scale Distributed Systems The infrastructure Viewpoint-Toward Fog and Edge Computing as The Next Utility Computing Paradigm?,2017,,tel.archives-ouvertes.fr,https://tel.archives-ouvertes.fr/tel-01664343/document,,,,,
0,S Gupta,QUANTUM FOG CLOUD MODEL IN INTERNET OF THINGS WITH ANALYSIS OF GREEN COMPUTING,2017,International Journal of Research-Granthaalayah,oaji.net,http://oaji.net/articles/2017/1330-1490706619.pdf,,,,,
65,"M Iorga, L Feldman, R Barton, MJ Martin, NS Goren, ...",Fog computing conceptual model,2018,,nist.gov,https://www.nist.gov/publications/fog-computing-conceptual-model,"https://scholar.google.com/scholar?cites=14977215858773460651&as_sdt=2005&sciodt=0,5&hl=en",4,,,
86,"C Thota, R Sundarasekar, G Manogaran, ...",Centralized fog computing security platform for IoT and cloud in healthcare system,2018,Fog Computing …,igi-global.com,https://www.igi-global.com/chapter/centralized-fog-computing-security-platform-for-iot-and-cloud-in-healthcare-system/205985,"https://scholar.google.com/scholar?cites=8878946368080885196&as_sdt=2005&sciodt=0,5&hl=en",8,,,
38,"O Salman, I Elhajj, A Chehab, A Kayssi",IoT survey: An SDN and fog computing perspective,2018,Computer Networks,Elsevier,https://www.sciencedirect.com/science/article/pii/S1389128618305395,"https://scholar.google.com/scholar?cites=10499709102273145828&as_sdt=2005&sciodt=0,5&hl=en",43,,,
29,"T Choudhari, M Moh, TS Moh",Prioritized task scheduling in fog computing,2018,Proceedings of the ACMSE 2018 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3190645.3190699,"https://scholar.google.com/scholar?cites=4643396137015115145&as_sdt=2005&sciodt=0,5&hl=en",45,,,
15,"SB Nath, H Gupta, S Chakraborty, SK Ghosh",A survey of fog computing and communication: current researches and future directions,2018,arXiv preprint arXiv …,arxiv.org,https://arxiv.org/abs/1804.04365,"https://scholar.google.com/scholar?cites=14445560258962275976&as_sdt=2005&sciodt=0,5&hl=en",99,,,
12,"M Hussain, MS Alam, MM Beg","Fog computing in IoT aided smart grid transition-requirements, prospects, status quos and challenges",2018,arXiv preprint arXiv:1802.01818,arxiv.org,https://arxiv.org/abs/1802.01818,"https://scholar.google.com/scholar?cites=4771473765310745014&as_sdt=2005&sciodt=0,5&hl=en",130,,,
5,"P Cruz, FF Silva, RG Pacheco, RS Couto, ...",SensingBus: Using Bus Lines and Fog Computing for Smart Sensing the City,2018,IEEE Cloud …,gta.ufrj.br,http://www.gta.ufrj.br/ftp/gta/TechReports/CSP18.pdf,"https://scholar.google.com/scholar?cites=11975237767756945820&as_sdt=2005&sciodt=0,5&hl=en",261,,,
3,"J Qiu, S Li, B Cao",RePage: A novel over-air reprogramming approach based on paging mechanism applied in fog computing,2018,Wireless Communications and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/2940952/abs/,"https://scholar.google.com/scholar?cites=18410460738454419998&as_sdt=2005&sciodt=0,5&hl=en",299,,,
2,QF Hassan,Cloud and fog computing in the internet of things,2018,,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8390847/,"https://scholar.google.com/scholar?cites=17001401975478212386&as_sdt=2005&sciodt=0,5&hl=en",424,,,
5,"S Shukla, MF Hassan, LT Jung, A Awang",Architecture for Latency Reduction in Healthcare Internet-of-Things Using Reinforcement Learning and Fuzzy Based Fog Computing,2018,International Conference of …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-99007-1_36,"https://scholar.google.com/scholar?cites=218198441428507407&as_sdt=2005&sciodt=0,5&hl=en",465,,,
0,"EF Ordóñez-Morales, M López-Nores, ...",Vehicular Fog Computing on Top of a Virtualization Layer,2018,… Conference on Internet …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-05081-8_6,,597,,,
1,"ML Chiang, Y Lin, HC Hsieh, WC Tsai",Improving Latency and Reliability for Vehicle System Under Fog Computing Networks,2018,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-030-03745-1_28,"https://scholar.google.com/scholar?cites=7353144728946530200&as_sdt=2005&sciodt=0,5&hl=en",608,,,
415,"R Mahmud, R Kotagiri, R Buyya","Fog computing: A taxonomy, survey and future directions",2018,Internet of everything,Springer,https://link.springer.com/chapter/10.1007/978-981-10-5861-5_5,"https://scholar.google.com/scholar?cites=1703011523937404210&as_sdt=2005&sciodt=0,5&hl=en",1,,,
165,"M Mukherjee, L Shu, D Wang","Survey of fog computing: Fundamental, network applications, and research challenges",2018,IEEE Communications Surveys …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8314121/,"https://scholar.google.com/scholar?cites=13324952054396621911&as_sdt=2005&sciodt=0,5&hl=en",2,,,
398,"AM Rahmani, TN Gia, B Negash, A Anzanpour, ...",Exploiting smart e-Health gateways at the edge of healthcare Internet-of-Things: A fog computing approach,2018,Future Generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17302121,"https://scholar.google.com/scholar?cites=1327109168178261702&as_sdt=2005&sciodt=0,5&hl=en",3,,,
123,"HF Atlam, RJ Walters, GB Wills",Fog computing and the internet of things: a review,2018,big data and cognitive computing,mdpi.com,https://www.mdpi.com/2504-2289/2/2/10,"https://scholar.google.com/scholar?cites=1842021076708134805&as_sdt=2005&sciodt=0,5&hl=en",5,,,
72,"C Zuo, J Shao, G Wei, M Xie, M Ji",CCA-secure ABE with outsourced decryption for fog computing,2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X16304745,"https://scholar.google.com/scholar?cites=6895256441096813256&as_sdt=2005&sciodt=0,5&hl=en",6,,,
536,"R Roman, J Lopez, M Mambo","Mobile edge computing, fog et al.: A survey and analysis of security threats and challenges",2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X16305635,"https://scholar.google.com/scholar?cites=15931546906076224382&as_sdt=2005&sciodt=0,5&hl=en",7,,,
94,"M Aazam, S Zeadally, KA Harras",Deploying fog computing in industrial internet of things and industry 4.0,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8410462/,"https://scholar.google.com/scholar?cites=14808093038505033444&as_sdt=2005&sciodt=0,5&hl=en",9,,,
85,"RK Naha, S Garg, D Georgakopoulos, ...","Fog Computing: Survey of trends, architectures, requirements, and research directions",2018,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8444370/,"https://scholar.google.com/scholar?cites=14085704508792100910&as_sdt=2005&sciodt=0,5&hl=en",10,,,
71,"J Liu, J Li, L Zhang, F Dai, Y Zhang, X Meng, ...",Secure intelligent traffic light control using fog computing,2018,Future Generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17302157,"https://scholar.google.com/scholar?cites=5903761727935269653&as_sdt=2005&sciodt=0,5&hl=en",11,,,
69,"PY Zhang, MC Zhou, G Fortino",Security and trust issues in Fog computing: A survey,2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17329722,"https://scholar.google.com/scholar?cites=9116822098644182504&as_sdt=2005&sciodt=0,5&hl=en",12,,,
81,"D Puthal, MS Obaidat, P Nanda, ...",Secure and sustainable load balancing of edge data centers in fog computing,2018,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8360851/,"https://scholar.google.com/scholar?cites=252346890221398884&as_sdt=2005&sciodt=0,5&hl=en",13,,,
90,"AS Sohal, R Sandhu, SK Sood, V Chang",A cybersecurity framework to identify malicious edge device in fog computing and cloud-of-things environments,2018,Computers & Security,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167404817301827,"https://scholar.google.com/scholar?cites=12041180091699934066&as_sdt=2005&sciodt=0,5&hl=en",14,,,
72,"JS Fu, Y Liu, HC Chao, BK Bhargava, ...",Secure data storage and searching for industrial IoT by integrating fog computing and cloud computing,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8259028/,"https://scholar.google.com/scholar?cites=2393980279688618523&as_sdt=2005&sciodt=0,5&hl=en",15,,,
70,"G Li, J Wu, J Li, K Wang, T Ye",Service popularity-based smart resources partitioning for fog computing-enabled industrial Internet of Things,2018,IEEE Transactions on Industrial …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8377998/,"https://scholar.google.com/scholar?cites=8446440950423898019&as_sdt=2005&sciodt=0,5&hl=en",16,,,
75,"A Kumari, S Tanwar, S Tyagi, N Kumar",Fog computing for Healthcare 4.0 environment: Opportunities and challenges,2018,Computers & Electrical …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0045790618303860,"https://scholar.google.com/scholar?cites=4879390937542254198&as_sdt=2005&sciodt=0,5&hl=en",17,,,
74,"L Li, K Ota, M Dong",Deep learning for smart industry: Efficient manufacture inspection system with fog computing,2018,IEEE Transactions on Industrial …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8370640/,"https://scholar.google.com/scholar?cites=2320371045215395750&as_sdt=2005&sciodt=0,5&hl=en",18,,,
58,"S Bitam, S Zeadally, A Mellouk",Fog computing job scheduling optimization based on bees swarm,2018,Enterprise Information Systems,Taylor & Francis,https://www.tandfonline.com/doi/abs/10.1080/17517575.2017.1304579,"https://scholar.google.com/scholar?cites=12314687226931994522&as_sdt=2005&sciodt=0,5&hl=en",19,,,
58,"Y Gu, Z Chang, M Pan, L Song, ...",Joint radio and computational resource allocation in IoT fog computing,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8327930/,"https://scholar.google.com/scholar?cites=14035677199353515877&as_sdt=2005&sciodt=0,5&hl=en",20,,,
61,"M Aazam, S Zeadally, KA Harras","Fog computing architecture, evaluation, and future research directions",2018,IEEE Communications …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8360849/,"https://scholar.google.com/scholar?cites=13558885183247725531&as_sdt=2005&sciodt=0,5&hl=en",21,,,
76,"H Shah-Mansouri, VWS Wong",Hierarchical fog-cloud computing for IoT systems: A computation offloading game,2018,IEEE Internet of Things Journal,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8360511/,"https://scholar.google.com/scholar?cites=14745137928679476526&as_sdt=2005&sciodt=0,5&hl=en",22,,,
41,"B Negash, TN Gia, A Anzanpour, I Azimi, ...",Leveraging fog computing for healthcare iot,2018,Fog computing in the …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-57639-8_8,"https://scholar.google.com/scholar?cites=9062583197258578187&as_sdt=2005&sciodt=0,5&hl=en",23,,,
68,"T Wang, G Zhang, MZA Bhuiyan, A Liu, W Jia, ...",A novel trust mechanism based on fog computing in sensor–cloud system,2018,Future Generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17323658,"https://scholar.google.com/scholar?cites=15175902848503661497&as_sdt=2005&sciodt=0,5&hl=en",24,,,
56,"R Mahmud, K Ramamohanarao, R Buyya",Latency-aware application module management for fog computing environments,2018,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3186592,"https://scholar.google.com/scholar?cites=14582647611609331043&as_sdt=2005&sciodt=0,5&hl=en",25,,,
65,"P Zhang, Z Chen, JK Liu, K Liang, H Liu",An efficient access control scheme with outsourcing capability and attribute update for fog computing,2018,Future Generation Computer …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X16307567,"https://scholar.google.com/scholar?cites=10720901700345370232&as_sdt=2005&sciodt=0,5&hl=en",26,,,
64,"J Wan, B Chen, S Wang, M Xia, D Li, ...",Fog computing for energy-aware load balancing and scheduling in smart factory,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8323243/,"https://scholar.google.com/scholar?cites=1569231075993965382&as_sdt=2005&sciodt=0,5&hl=en",27,,,
65,"M Aazam, S Zeadally, KA Harras","Offloading in fog computing for IoT: Review, enabling technologies, and research opportunities",2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X18301973,"https://scholar.google.com/scholar?cites=5432679645440175598&as_sdt=2005&sciodt=0,5&hl=en",28,,,
51,"L Liu, Z Chang, X Guo",Socially aware dynamic computation offloading scheme for fog computing system with energy harvesting devices,2018,IEEE Internet of Things Journal,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8318578/,"https://scholar.google.com/scholar?cites=11394769366026801432&as_sdt=2005&sciodt=0,5&hl=en",29,,,
58,"L Yin, J Luo, H Luo",Tasks scheduling and resource allocation in fog computing based on containers for smart manufacturing,2018,IEEE Transactions on Industrial …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8399557/,"https://scholar.google.com/scholar?cites=11172195847442261950&as_sdt=2005&sciodt=0,5&hl=en",30,,,
38,"MR Anawar, S Wang, M Azam Zia, ...",Fog computing: An overview of big IoT data analytics,2018,… and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/7157192/abs/,"https://scholar.google.com/scholar?cites=18264676033211820816&as_sdt=2005&sciodt=0,5&hl=en",31,,,
36,"Y Bi, G Han, C Lin, Q Deng, L Guo, ...",Mobility support for fog computing: An SDN approach,2018,IEEE Communications …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8360850/,"https://scholar.google.com/scholar?cites=12310547007833734029&as_sdt=2005&sciodt=0,5&hl=en",32,,,
44,"P Zhang, JK Liu, FR Yu, M Sookhak, ...",A survey on access control in fog computing,2018,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8291130/,"https://scholar.google.com/scholar?cites=17495943246739335073&as_sdt=2005&sciodt=0,5&hl=en",33,,,
64,"H Wang, Z Wang, J Domingo-Ferrer",Anonymous and secure aggregation scheme in fog-based public cloud computing,2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17302558,"https://scholar.google.com/scholar?cites=1575897127865339040&as_sdt=2005&sciodt=0,5&hl=en",34,,,
50,"Y Jiang, W Susilo, Y Mu, F Guo",Ciphertext-policy attribute-based encryption against key-delegation abuse in fog computing,2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17301322,"https://scholar.google.com/scholar?cites=11349005301997338521&as_sdt=2005&sciodt=0,5&hl=en",35,,,
48,"J Ni, K Zhang, Y Yu, X Lin, ...",Providing task allocation and secure deduplication for mobile crowdsensing via fog computing,2018,… and Secure Computing,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8252791/,"https://scholar.google.com/scholar?cites=12086686696578942008&as_sdt=2005&sciodt=0,5&hl=en",36,,,
36,"Q Fan, N Ansari",Towards workload balancing in fog computing empowered IoT,2018,IEEE Transactions on Network Science and …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8403280/,"https://scholar.google.com/scholar?cites=3852494237120327410&as_sdt=2005&sciodt=0,5&hl=en",37,,,
45,"AA Khan, M Abolhasan, W Ni",5G next generation VANETs using SDN and fog computing framework,2018,2018 15th IEEE Annual …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8319192/,"https://scholar.google.com/scholar?cites=17186651985721673499&as_sdt=2005&sciodt=0,5&hl=en",38,,,
30,"V Moysiadis, P Sarigiannidis, ...",Towards distributed data management in fog computing,2018,… and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/7597686/abs/,"https://scholar.google.com/scholar?cites=17865038435226052009&as_sdt=2005&sciodt=0,5&hl=en",39,,,
61,"W Wu, S Pirbhulal, AK Sangaiah, ...",Optimization of signal quality over comfortability of textile electrodes for ECG monitoring in fog computing based medical applications,2018,Future generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X18300621,"https://scholar.google.com/scholar?cites=8335246283530728096&as_sdt=2005&sciodt=0,5&hl=en",40,,,
39,"Z Tang, X Zhou, F Zhang, W Jia, ...",Migration modeling and learning algorithms for containers in fog computing,2018,… on Services Computing,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8338124/,"https://scholar.google.com/scholar?cites=16945825842413799840&as_sdt=2005&sciodt=0,5&hl=en",41,,,
34,"X An, X Zhou, X Lü, F Lin, L Yang",Sample selected extreme learning machine based intrusion detection in fog computing and MEC,2018,… and Mobile Computing,hindawi.com,https://www.hindawi.com/journals/wcmc/2018/7472095/abs/,"https://scholar.google.com/scholar?cites=9718007271199405829&as_sdt=2005&sciodt=0,5&hl=en",42,,,
70,"T Wang, J Zhou, A Liu, MZA Bhuiyan, ...",Fog-based computing and storage offloading for data synchronization in IoT,2018,IEEE Internet of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8491322/,"https://scholar.google.com/scholar?cites=11458198912452361686&as_sdt=2005&sciodt=0,5&hl=en",44,,,
36,"D Koo, J Hur",Privacy-preserving deduplication of encrypted data with dynamic ownership management in fog computing,2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17301309,"https://scholar.google.com/scholar?cites=9820229544748396629&as_sdt=2005&sciodt=0,5&hl=en",46,,,
43,"Z Xiong, S Feng, W Wang, D Niyato, ...",Cloud/fog computing resource management and pricing for blockchain networks,2018,IEEE Internet of …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8470083/,"https://scholar.google.com/scholar?cites=15278456426127070257&as_sdt=2005&sciodt=0,5&hl=en",47,,,
32,"Z Yu, MH Au, Q Xu, R Yang, J Han",Towards leakage-resilient fine-grained access control in fog computing,2018,Future Generation Computer Systems,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17301310,"https://scholar.google.com/scholar?cites=5480684552720954771&as_sdt=2005&sciodt=0,5&hl=en",48,,,
42,"P O'donovan, C Gallagher, K Bruton, ...",A fog computing industrial cyber-physical system for embedded low-latency machine learning Industry 4.0 applications,2018,Manufacturing Letters,Elsevier,https://www.sciencedirect.com/science/article/pii/S2213846318300087,"https://scholar.google.com/scholar?cites=18159641077110997651&as_sdt=2005&sciodt=0,5&hl=en",49,,,
46,"J Santos, T Wauters, B Volckaert, F De Turck",Fog computing: Enabling the management and orchestration of smart city applications in 5g networks,2018,Entropy,mdpi.com,https://www.mdpi.com/1099-4300/20/1/4,"https://scholar.google.com/scholar?cites=3178659996799736985&as_sdt=2005&sciodt=0,5&hl=en",50,,,
138,"J Du, L Zhao, J Feng, X Chu",Computation offloading and resource allocation in mixed fog/cloud computing systems with min-max fairness guarantee,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8240666/,"https://scholar.google.com/scholar?cites=12098419565873292693&as_sdt=2005&sciodt=0,5&hl=en",51,,,
36,"M Li, L Zhu, X Lin",Efficient and privacy-preserving carpooling using blockchain-assisted vehicular fog computing,2018,IEEE Internet of Things Journal,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8452961/,"https://scholar.google.com/scholar?cites=4625112107683293032&as_sdt=2005&sciodt=0,5&hl=en",52,,,
33,"Y Miao, J Ma, X Liu, J Weng, H Li, ...",Lightweight fine-grained search over encrypted data in fog computing,2018,… on Services Computing,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8331892/,"https://scholar.google.com/scholar?cites=6315588244542344247&as_sdt=2005&sciodt=0,5&hl=en",53,,,
40,"T Wang, J Zhou, X Chen, G Wang, ...",A three-layer privacy preserving cloud storage scheme based on computational intelligence in fog computing,2018,IEEE Transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8264982/,"https://scholar.google.com/scholar?cites=14889926165622345723&as_sdt=2005&sciodt=0,5&hl=en",54,,,
24,"Y Guan, J Shao, G Wei, M Xie",Data security and privacy in fog computing,2018,IEEE Network,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8315211/,"https://scholar.google.com/scholar?cites=8993265463778256112&as_sdt=2005&sciodt=0,5&hl=en",55,,,
34,"R Yu, G Xue, X Zhang",Application provisioning in fog computing-enabled internet-of-things: A network perspective,2018,IEEE INFOCOM 2018-IEEE Conference …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8486269/,"https://scholar.google.com/scholar?cites=13610284989388808444&as_sdt=2005&sciodt=0,5&hl=en",56,,,
27,"R Yang, Q Xu, MH Au, Z Yu, H Wang, L Zhou",Position based cryptography with location privacy: A step for Fog Computing,2018,Future Generation …,Elsevier,https://www.sciencedirect.com/science/article/pii/S0167739X17311032,"https://scholar.google.com/scholar?cites=10256894217447522786&as_sdt=2005&sciodt=0,5&hl=en",57,,,
